Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
288	5	282	283	50.2332	7.44E+01	0.4	
289	5	283	275	50.2334	7.44E+01	0.4	
290	5	147	284	6.9987	2.64E-01	0.4	
291	5	284	258	6.9949	2.64E-01	0.4	
292	5	285	286	47.0936	7.02E+01	0.4	
293	5	286	287	47.0937	7.02E+01	0.4	
294	5	287	280	47.0939	7.02E+01	0.4	
295	5	244	288	51.1792	3.99E+01	0.4	
296	5	288	289	51.1792	3.99E+01	0.4	
297	5	289	290	51.1793	3.99E+01	0.4	
298	5	290	291	51.1793	3.99E+01	0.4	
299	5	291	292	51.1794	3.99E+01	0.4	
300	5	292	293	51.1792	3.99E+01	0.4	
301	5	293	294	51.1791	3.99E+01	0.4	
302	5	294	295	51.179	3.99E+01	0.4	
303	5	295	285	51.1789	3.99E+01	0.4	
304	5	221	297	37.177	3.99E+01	0.4	
305	5	297	298	37.177	3.99E+01	0.4	
306	5	298	299	37.1772	3.99E+01	0.4	
307	5	299	300	37.1771	3.99E+01	0.4	
308	5	300	301	37.1765	3.99E+01	0.4	
309	5	301	302	37.1759	3.99E+01	0.4	
310	5	302	303	37.1757	3.99E+01	0.4	
311	5	303	304	37.1756	3.99E+01	0.4	
312	5	304	305	37.1755	3.99E+01	0.4	
313	5	305	306	37.1753	3.99E+01	0.4	
314	5	306	296	37.1751	3.99E+01	0.4	
315	5	307	308	37.3221	3.96E+01	0.4	
316	5	308	221	37.3227	3.96E+01	0.4	
317	5	309	310	33.1085	3.50E+01	0.4	
318	5	310	311	33.1092	3.50E+01	0.4	
319	5	311	312	33.11	3.50E+01	0.4	
320	5	312	307	33.111	3.50E+01	0.4	
321	5	127	313	12.9905	4.64E+00	0.4	
322	5	313	314	12.9911	4.64E+00	0.4	
323	5	314	315	12.9916	4.64E+00	0.4	
324	5	315	307	12.992	4.64E+00	0.4	
325	5	316	317	24.5931	3.04E+01	0.4	
326	5	317	318	24.5931	3.04E+01	0.4	
327	5	318	319	24.5926	3.04E+01	0.4	
328	5	319	320	24.5919	3.04E+01	0.4	
329	5	320	321	24.5914	3.04E+01	0.4	
330	5	321	322	24.591	3.04E+01	0.4	
331	5	322	285	24.5909	3.04E+01	0.4	
332	5	223	323	19.9289	2.68E+01	0.4	
333	5	323	316	19.9278	2.68E+01	0.4	
334	5	324	325	26.8003	2.68E+01	0.4	
335	5	325	223	26.8019	2.68E+01	0.4	
336	5	130	326	11.358	1.39E+00	0.4	
337	5	326	324	11.358	1.39E+00	0.4	
338	5	132	327	12.8317	1.03E+00	0.4	
339	5	327	130	12.8323	1.03E+00	0.4	
340	5	328	329	20.3625	2.54E+01	0.4	
341	5	329	330	20.3629	2.54E+01	0.4	
342	5	330	324	20.3637	2.54E+01	0.4	
343	5	331	332	10.8378	3.00E+00	0.4	
344	5	332	333	10.8382	3.00E+00	0.4	
345	5	333	334	10.8385	3.00E+00	0.4	
346	5	334	335	10.8389	3.00E+00	0.4	
347	5	335	336	10.8394	3.00E+00	0.4	
348	5	336	328	10.8398	3.00E+00	0.4	
349	5	199	337	18.4635	2.24E+01	0.4	
350	5	337	328	18.4638	2.24E+01	0.4	
351	5	338	339	18.4223	2.04E+01	0.4	
352	5	339	340	18.4226	2.04E+01	0.4	
353	5	340	199	18.4229	2.04E+01	0.4	
354	5	341	342	8.2859	4.00E+00	0.4	
355	5	342	343	8.2863	4.00E+00	0.4	
356	5	343	338	8.2866	4.00E+00	0.4	
357	5	137	344	13.4775	1.64E+01	0.4	
358	5	344	345	13.4776	1.64E+01	0.4	
359	5	345	338	13.4778	1.64E+01	0.4	
360	5	250	346	13.5237	1.04E+01	0.4	
